Item,Item Description,Planner,Order Type,Order#,Ln#,Ordered Date,Line Creation Date,Line Update Date,Request Date,Schedule Date,Promise Date,Open_Qty,Price,Extended_Price,Item Cost ,Material_Cost,Material_OH_Cost,Resource_Cost,Overhead_Cost,OSP_Cost,Customer Name,Address Line 1,Address Line 2,Address Line 3,Address Line 4,ORG,Item_Cost,Extended_Cost,Material,Labor,Overhead,OSP,Total,Margin,Margin%
YT00344,"KEEPER PIN 1"" X 2 3/4""",KU,YTS-INTERNAL,110998.0,1.0,2021-06-29,2021-06-29,2021-06-29,2021-07-06,2021-06-29,2021-07-01,30.0,8.64,259.2,8.64,8.64,,,,,WABCO-KANSAS CITY SERVICE CENTER,4800 DERAMUS,(JAX),"KANSAS CITY,MO 64120 - US",,JAX,,,259.20000000000005,,,,,,
YT01474-804,D8 RADIATOR YTF 108 XP CR VCI - FINAL ASSEMBLY,3,YTS-INTERNAL,110945.0,1.0,2021-05-11,2021-05-11,2021-05-13,2021-05-25,2021-07-14,2021-07-14,1.0,3144.79584,3144.79584,3229.4222,2063.52438,,214.8397,951.05812,,WABCO-KANSAS CITY SERVICE CENTER,4800 DERAMUS,(JAX),"KANSAS CITY,MO 64120 - US",,JAX,,,2063.52,214.84,951.06,,3014.58,,
YT01474-804,D8 RADIATOR YTF 108 XP CR VCI - FINAL ASSEMBLY,3,YTS-INTERNAL,110947.0,1.0,2021-05-12,2021-05-12,2021-05-13,2021-05-26,2021-07-14,2021-07-14,5.0,3144.79584,15723.9792,3229.4222,2063.52438,,214.8397,951.05812,,WABCO-KANSAS CITY SERVICE CENTER,4800 DERAMUS,(JAX),"KANSAS CITY,MO 64120 - US",,JAX,,,10317.6,1074.2,4755.299999999999,,3014.58,,
YT02190-804,D6 RADIATOR YTF 106 XP CR VCI - FINAL ASSEMBLY,3,YTS-INTERNATIONAL,564418.0,1.0,2021-06-10,2021-06-10,2021-06-15,2021-08-24,2021-08-12,2021-08-12,2.0,4515.0,9030.0,2740.01856,1638.22784,,195.56048,864.23024,42.0,NUEVO CENTRAL ARGENTINO,AV. PERON 1420,(2124) V. G. GALVEZ,"SANTA FE,.  - AR",,JAX,,,3276.46,391.12,1728.46,84.0,2502.46,,
YT02248-800,T8 RADIATOR YTF 108 STD PALLET - FINAL ASSEMBLY,3,YTS-INTERNAL,110947.0,2.0,2021-05-12,2021-05-12,2021-05-13,2021-05-26,2021-07-08,2021-07-09,6.0,3865.74215,23194.4529,3996.36235,2718.90802,,237.36058,1040.09375,,WABCO-KANSAS CITY SERVICE CENTER,4800 DERAMUS,(JAX),"KANSAS CITY,MO 64120 - US",,JAX,,,16313.46,1424.16,6240.539999999999,,3759.0,,
YT02610-800,CORE SIDES YTF 104 YTF 105 STD PALLET,3,YTS-INTERNAL,110933.0,1.0,2021-04-29,2021-04-30,2021-05-04,2021-05-06,2021-07-07,2021-07-07,5.0,6489.07952,32445.3976,6809.61162,4497.96783,,408.94956,1770.69423,132.0,WABCO-KANSAS CITY SERVICE CENTER,4800 DERAMUS,(JAX),"KANSAS CITY,MO 64120 - US",,JAX,,,22489.850000000002,2044.75,8853.45,660.0,6268.66,,
YT02753,"TEE, 3/8"" NPT - ( BLACK PIPE )",PI,YTS-INTERNATIONAL,564446.0,1.0,2021-06-14,2021-06-14,2021-06-22,2021-12-16,2021-10-12,2021-10-12,50.0,2.43,121.5,1.89,1.89,,,,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,GCR-CONTAGEM REMAN NC,AV. GENERAL DAVID SARNOFF,"CONTAGEM, 32210-110 - BR",,JAX,,,94.5,,,,,,
YT02754,"ELBOW, 3/8"" NPT",PI,YTS-INTERNATIONAL,564287.0,1.0,2021-05-28,2021-05-28,2021-06-21,2021-11-16,2021-09-10,2021-09-10,65.0,1.56,101.4,1.21,1.21,,,,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,GCR-CONTAGEM REMAN NC,AV. GENERAL DAVID SARNOFF,"CONTAGEM, 32210-110 - BR",,JAX,,,78.64999999999999,,,,,,
YT02758,CORE TO TANK FLEX CONNECT - GE/TCS,HO,YTS-DOMESTIC,564382.0,1.0,2021-06-07,2021-06-07,2021-06-07,2021-08-06,2021-07-29,2021-07-29,3.0,68.0,204.0,27.6,27.6,,,,,"WABTEC TRANSPORTATION SYSTEMS, LLC",6300 MUIRFIELD DRIVE,"HANOVER PARK,IL 60133-5462 - US",,,JAX,,,82.80000000000001,,,,,,
YT02758,CORE TO TANK FLEX CONNECT - GE/TCS,HO,YTS-DOMESTIC,564561.0,1.0,2021-06-28,2021-06-28,2021-06-28,2021-08-27,2031-08-20,2031-08-20,19.0,68.0,1292.0,27.6,27.6,,,,,"WABTEC TRANSPORTATION SYSTEMS, LLC",6300 MUIRFIELD DRIVE,"HANOVER PARK,IL 60133-5462 - US",,,JAX,,,524.4,,,,,,
